B,H,Q,topk,seed,global_mean_adjacent_overlap,adjacent_pair_count
4,8192,16384,2048,20260803,0.13610394271834753,65532
4,16384,16384,2048,20260803,0.08677728384367561,65532
4,32768,16384,2048,20260803,0.0507761609428409,65532
4,65536,16384,2048,20260803,0.027877072758823934,65532
4,131072,16384,2048,20260803,0.014811071249065342,65532
4,262144,16384,2048,20260803,0.007357912331952329,65532
4,524288,16384,2048,20260803,0.003637930765217756,65532
4,2048,32768,2048,20260803,0.17742035324697866,131068
4,4096,32768,2048,20260803,0.1373872849219966,131068
4,8192,32768,2048,20260803,0.10000059084907262,131068
4,16384,32768,2048,20260803,0.06906776801927243,131068
4,32768,32768,2048,20260803,0.04307879470842425,131068
4,65536,32768,2048,20260803,0.02541580873096408,131068
4,131072,32768,2048,20260803,0.014031227468756676,131068
4,262144,32768,2048,20260803,0.0072275482418954285,131068
4,524288,32768,2048,20260803,0.003589575759338664,131068
8,2048,2,2048,20260803,0.9990234375,8
8,4096,2,2048,20260803,0.47540283203125,8
8,8192,2,2048,20260803,0.26336669921875,8
8,16384,2,2048,20260803,0.1212158203125,8
8,32768,2,2048,20260803,0.0,8
8,65536,2,2048,20260803,0.03118896484375,8
8,131072,2,2048,20260803,0.0,8
8,262144,2,2048,20260803,0.00750732421875,8
8,524288,2,2048,20260803,0.0,8
8,2048,4,2048,20260803,0.99853515625,24
8,4096,4,2048,20260803,0.4823811848958333,24
8,8192,4,2048,20260803,0.257568359375,24
8,16384,4,2048,20260803,0.08074951171875,24
8,32768,4,2048,20260803,0.0,24
8,65536,4,2048,20260803,0.021158854166666668,24
8,131072,4,2048,20260803,0.010416666666666666,24
8,262144,4,2048,20260803,0.0048828125,24
8,524288,4,2048,20260803,0.0,24
8,2048,8,2048,20260803,0.9975673130580357,56
8,4096,8,2048,20260803,0.49639892578125,56
8,8192,8,2048,20260803,0.2654942103794643,56
8,16384,8,2048,20260803,0.12014334542410714,56
8,32768,8,2048,20260803,0.012782505580357142,56
8,65536,8,2048,20260803,0.022443498883928572,56
8,131072,8,2048,20260803,0.006644112723214286,56
8,262144,8,2048,20260803,0.005467006138392857,56
8,524288,8,2048,20260803,0.0,56
8,2048,16,2048,20260803,0.9956095377604167,120
8,4096,16,2048,20260803,0.49693196614583335,120
8,8192,16,2048,20260803,0.25219319661458334,120
8,16384,16,2048,20260803,0.12712809244791667,120
8,32768,16,2048,20260803,0.06260986328125,120
8,65536,16,2048,20260803,0.06404622395833333,120
8,131072,16,2048,20260803,0.006197102864583333,120
8,262144,16,2048,20260803,0.0051025390625,120
8,524288,16,2048,20260803,0.0,120
8,2048,32,2048,20260803,0.9917031565020161,248
8,4096,32,2048,20260803,0.49362871723790325,248
8,8192,32,2048,20260803,0.2477928899949597,248
8,16384,32,2048,20260803,0.11842001638104839,248
8,32768,32,2048,20260803,0.05779635521673387,248
8,65536,32,2048,20260803,0.043065224924395164,248
8,131072,32,2048,20260803,0.023490659652217742,248
8,262144,32,2048,20260803,0.0052687121975806455,248
8,524288,32,2048,20260803,0.0,248
8,2048,64,2048,20260803,0.9842723059275794,504
8,4096,64,2048,20260803,0.4943644205729167,504
8,8192,64,2048,20260803,0.24883645678323413,504
8,16384,64,2048,20260803,0.12697637648809523,504
8,32768,64,2048,20260803,0.07359967912946429,504
8,65536,64,2048,20260803,0.0325927734375,504
8,131072,64,2048,20260803,0.01553586929563492,504
8,262144,64,2048,20260803,0.005228678385416667,504
8,524288,64,2048,20260803,0.008103143601190476,504
8,2048,128,2048,20260803,0.9691436046690453,1016
8,4096,128,2048,20260803,0.49187607652559057,1016
8,8192,128,2048,20260803,0.24655848225270668,1016
8,16384,128,2048,20260803,0.12663064791461615,1016
8,32768,128,2048,20260803,0.0723146453617126,1016
8,65536,128,2048,20260803,0.04193019116018701,1016
8,131072,128,2048,20260803,0.01603158064714567,1016
8,262144,128,2048,20260803,0.005228838582677166,1016
8,524288,128,2048,20260803,0.004019669660433071,1016
8,2048,256,2048,20260803,0.9418705958946079,2040
8,4096,256,2048,20260803,0.4847830978094363,2040
8,8192,256,2048,20260803,0.24569283279718138,2040
8,16384,256,2048,20260803,0.1247891295189951,2040
8,32768,256,2048,20260803,0.06530905330882353,2040
8,65536,256,2048,20260803,0.03703254250919118,2040
8,131072,256,2048,20260803,0.01666738472732843,2040
8,262144,256,2048,20260803,0.005276309742647059,2040
8,524288,256,2048,20260803,0.005801930147058824,2040
8,2048,512,2048,20260803,0.8919607263255259,4088
8,4096,512,2048,20260803,0.4713131182347725,4088
8,8192,512,2048,20260803,0.24298537640655576,4088
8,16384,512,2048,20260803,0.12322639719147505,4088
8,32768,512,2048,20260803,0.0635417781464041,4088
8,65536,512,2048,20260803,0.033193450151357634,4088
8,131072,512,2048,20260803,0.015544017933586106,4088
8,262144,512,2048,20260803,0.006626674107142857,4088
8,524288,512,2048,20260803,0.006647576557913405,4088
8,2048,1024,2048,20260803,0.8110839008469269,8184
8,4096,1024,2048,20260803,0.44563861746242667,8184
8,8192,1024,2048,20260803,0.2350506227853128,8184
8,16384,1024,2048,20260803,0.11872387957829302,8184
8,32768,1024,2048,20260803,0.05906395338847141,8184
8,65536,1024,2048,20260803,0.032800996991080154,8184
8,131072,1024,2048,20260803,0.015315051186003176,8184
8,262144,1024,2048,20260803,0.007639477562927664,8184
8,524288,1024,2048,20260803,0.00527599107251955,8184
8,2048,2048,2048,20260803,0.6928671281047722,16376
8,4096,2048,2048,20260803,0.40501781737565645,16376
8,8192,2048,2048,20260803,0.22297889847375732,16376
8,16384,2048,2048,20260803,0.11565610497068882,16376
8,32768,2048,2048,20260803,0.05920917043234001,16376
8,65536,2048,2048,20260803,0.031198416795157547,16376
8,131072,2048,2048,20260803,0.015228077674645823,16376
8,262144,2048,2048,20260803,0.007395242561522961,16376
8,524288,2048,2048,20260803,0.004634646596009404,16376
8,2048,4096,2048,20260803,0.5491896409254807,32760
8,4096,4096,2048,20260803,0.3460537604214362,32760
8,8192,4096,2048,20260803,0.20256051050728785,32760
8,16384,4096,2048,20260803,0.1101893535609356,32760
8,32768,4096,2048,20260803,0.05832963694291819,32760
8,65536,4096,2048,20260803,0.03065215356475122,32760
8,131072,4096,2048,20260803,0.015687928065857754,32760
8,262144,4096,2048,20260803,0.007277447487408425,32760
8,524288,4096,2048,20260803,0.0040107028388278385,32760
8,2048,8192,2048,20260803,0.4021912105440613,65528
8,4096,8192,2048,20260803,0.2743703371554908,65528
8,8192,8192,2048,20260803,0.17319629079124574,65528
8,16384,8192,2048,20260803,0.1019331892831118,65528
8,32768,8192,2048,20260803,0.0550805810111708,65528
8,65536,8192,2048,20260803,0.02891282519495483,65528
8,131072,8192,2048,20260803,0.015138387883805397,65528
8,262144,8192,2048,20260803,0.007673909733720699,65528
8,524288,8192,2048,20260803,0.0038798866276629836,65528
8,2048,16384,2048,20260803,0.2747174835624199,131064
8,4096,16384,2048,20260803,0.2010462058374153,131064
8,8192,16384,2048,20260803,0.13710061556281664,131064
8,16384,16384,2048,20260803,0.08711521065090337,131064
8,32768,16384,2048,20260803,0.05071081908814587,131064
8,65536,16384,2048,20260803,0.027637901974417078,131064
8,131072,16384,2048,20260803,0.014708638140288333,131064
8,262144,16384,2048,20260803,0.007387265685800449,131064
8,524288,16384,2048,20260803,0.0036323909204186502,131064
8,2048,32768,2048,20260803,0.17712326159238428,262136
8,4096,32768,2048,20260803,0.13711498583094747,262136
8,8192,32768,2048,20260803,0.10050759597952018,262136
8,16384,32768,2048,20260803,0.06887095678924776,262136
8,32768,32768,2048,20260803,0.04324154643248161,262136
8,65536,32768,2048,20260803,0.02526525770496994,262136
8,131072,32768,2048,20260803,0.013968299807280381,262136
8,262144,32768,2048,20260803,0.007213196123028695,262136
8,524288,32768,2048,20260803,0.003580519302241966,262136
16,2048,2,2048,20260803,0.9990234375,16
16,4096,2,2048,20260803,0.475616455078125,16
16,8192,2,2048,20260803,0.27972412109375,16
