B,H,Q,bf16_status,bf16_tflops,bf16_latency_ms,q8kv8_status,q8kv8_skip_reason,q8kv8_tflops,q8kv8_latency_ms,q8kv8_vs_bf16_tflops
32,8192,4,ok,309.9295464090476,0.11779200285673141,ok,,428.2472506345028,0.08524800091981888,1.3817567753585471
32,16384,4,ok,286.5739115140052,0.1273919939994812,ok,,399.8775533294047,0.0912960022687912,1.3953731908700358
32,32768,4,ok,286.3580995186822,0.12748800218105316,ok,,396.1287051058547,0.09216000139713287,1.3833333360281328
32,65536,4,ok,289.77665849280095,0.12598399817943573,ok,,402.2745809421136,0.0907519981265068,1.3882228576809525
32,131072,4,ok,278.3241642651293,0.13116799294948578,ok,,388.70551592685354,0.09391999989748001,1.3965927714295618
32,262144,4,ok,280.0320907723565,0.13036799430847168,ok,,385.16228890125706,0.09478399902582169,1.375421966243015
32,524288,4,ok,281.62199996063543,0.12963199615478516,ok,,385.8135659229707,0.09462399780750275,1.3699695548533104
64,2048,4,ok,403.19868691409494,0.18108800053596497,ok,,527.1953401354635,0.13849599659442902,1.3075323835263064
64,4096,4,ok,348.7240251025159,0.2093760073184967,ok,,498.95064760104,0.14633600413799286,1.4307894256908777
64,8192,4,ok,337.7796273344141,0.21615999937057495,ok,,477.4432840881905,0.15292799472808838,1.4134756671263193
64,16384,4,ok,310.05590432315785,0.23548799753189087,ok,,438.873143933868,0.16636799275875092,1.4154645591797843
64,32768,4,ok,307.6313074176384,0.23734399676322937,ok,,438.3672344226766,0.16655999422073364,1.424976014640642
64,65536,4,ok,314.97809351557675,0.23180800676345825,ok,,439.8884347208878,0.16598400473594666,1.3965683448367618
64,131072,4,ok,302.532661093,0.24134400486946106,ok,,430.0228841529387,0.16979199647903442,1.4214097829944634
64,262144,4,ok,303.37738435190516,0.2406720072031021,ok,,427.0449938429607,0.17097599804401398,1.407636217693822
64,524288,4,ok,304.3485878499548,0.2399040013551712,ok,,427.36494008974813,0.17084799706935883,1.4041955742552712
128,2048,4,ok,431.772437114056,0.33820798993110657,ok,,573.2197677366406,0.2547520101070404,1.3275969433528714
128,4096,4,ok,388.47389348094794,0.37590399384498596,ok,,543.3916015708388,0.26873600482940674,1.3987853770603211
128,8192,4,ok,356.404471758035,0.4097279906272888,ok,,513.8967277098053,0.28415998816490173,1.4418919189619277
128,16384,4,ok,320.75650039385636,0.45526400208473206,ok,,469.92098523388125,0.3107520043849945,1.4650396317981587
128,32768,4,ok,322.3652748108292,0.4529919922351837,ok,,466.22422766774963,0.3132160007953644,1.4462606989581615
128,65536,4,ok,330.8731746599966,0.4413439929485321,ok,,470.0178096219946,0.31068798899650574,1.4205376730978032
128,131072,4,ok,316.8809634185792,0.46083199977874756,ok,,459.4646259255651,0.31782400608062744,1.4499596977008748
128,262144,4,ok,317.9628379834959,0.45926401019096375,ok,,457.20897844793,0.31939199566841125,1.437932122343372
128,524288,4,ok,318.6066323445023,0.4583359956741333,ok,,455.3839611756337,0.32067200541496277,1.4292984355807041
256,2048,4,ok,464.96538886422104,0.6281279921531677,ok,,571.568462481326,0.5109760165214539,1.2292709869814313
256,4096,4,ok,420.28022143648394,0.6949120163917542,ok,,573.6160888922383,0.5091519951820374,1.364841978363066
256,8192,4,ok,369.5661456684977,0.7902719974517822,ok,,539.8559765917869,0.540992021560669,1.4607830909816069
256,16384,4,ok,332.040795809594,0.879584014415741,ok,,487.62116668032695,0.5989440083503723,1.468557998999464
256,32768,4,ok,329.74946046879865,0.8856959939002991,ok,,484.46337938936,0.6028479933738708,1.4691862685707127
256,65536,4,ok,339.3242909423799,0.8607040047645569,ok,,491.084498901766,0.5947200059890747,1.4472423932218759
256,131072,4,ok,324.60098038979805,0.8997439742088318,ok,,476.27228295674286,0.613215982913971,1.4672546040520575
256,262144,4,ok,324.9823856262414,0.898688018321991,ok,,474.46482549022494,0.6155520081520081,1.459970898348631
256,524288,4,skipped_memory_limit,,,ok,,472.9159680175082,0.6175680160522461,
1,2048,8,ok,33.649441081344335,0.06780800223350525,ok,,35.63376528917584,0.06403200328350067,1.0589704953206975
1,4096,8,ok,33.55443017647068,0.06800000369548798,ok,,35.56267907623407,0.06415999680757523,1.0598504843980818
