B,Q,kind,H,role,backend,status,skip_reason,figure2_hardware_tflops,effective_e2e_tflops,figure2_latency_us,latency_ms_median
8,1,decode,16384,dense,flashmla_dense_bf16,ok,,301.52269410503476,217.96918799838946,60.538099999999986,0.08374399691820145
8,1,decode,32768,dense,flashmla_dense_bf16,ok,,325.9998358357429,269.51351840055736,111.9854,0.13545599579811096
8,1,decode,65536,dense,flashmla_dense_bf16,ok,,338.2196122639186,306.227530223398,215.87879999999996,0.23843200504779816
8,1,decode,131072,dense,flashmla_dense_bf16,ok,,350.5972853388572,331.5944445870242,416.5146000000001,0.44038400053977966
8,1,decode,262144,dense,flashmla_dense_bf16,ok,,362.1955274576089,350.1958911014492,806.3539000000001,0.8339840173721313
8,1,decode,524288,dense,flashmla_dense_bf16,ok,,366.9673773091912,363.6539619572204,1591.7369999999999,1.6062400341033936
8,1,decode,2048,sparse,flashmla_sparse_fp8,ok,,116.96833834008298,65.71720575784684,19.507000000000012,0.03471999987959862
8,1,decode,4096,sparse,flashmla_sparse_fp8,ok,,116.54653154625706,65.29593842977138,19.577599999999983,0.03494400158524513
8,1,decode,8192,sparse,flashmla_sparse_fp8,ok,,115.97900596744846,64.29501484399218,19.673399999999997,0.03548799827694893
8,1,decode,16384,sparse,flashmla_sparse_fp8,ok,,115.16938859360886,64.52775197093635,19.811699999999995,0.035360001027584076
8,1,decode,32768,sparse,flashmla_sparse_fp8,ok,,115.994335563373,64.70341869355256,19.67080000000002,0.03526400029659271
8,1,decode,65536,sparse,flashmla_sparse_fp8,ok,,115.69261772326482,64.29501484399218,19.722099999999994,0.03548799827694893
8,1,decode,131072,sparse,flashmla_sparse_fp8,ok,,115.45085238369917,64.35303651935725,19.763399999999997,0.03545600175857544
8,1,decode,262144,sparse,flashmla_sparse_fp8,ok,,114.89334347132063,64.52775197093635,19.85930000000002,0.035360001027584076
8,1,decode,524288,sparse,flashmla_sparse_fp8,ok,,114.39507946535106,63.60674898566404,19.94580000000001,0.03587200120091438
16,1,decode,2048,dense,flashmla_dense_bf16,ok,,190.54907999181543,100.21527415192705,23.948700000000052,0.04553600028157234
16,1,decode,4096,dense,flashmla_dense_bf16,ok,,254.10752828040125,156.28091247982744,35.917100000000005,0.058400001376867294
16,1,decode,8192,dense,flashmla_dense_bf16,ok,,296.4923529526421,219.05734860885482,61.565200000000004,0.0833280012011528
16,1,decode,16384,dense,flashmla_dense_bf16,ok,,323.3285627390166,273.58529114377575,112.91059999999997,0.13344000279903412
16,1,decode,32768,dense,flashmla_dense_bf16,ok,,337.6577846261989,306.14535395749607,216.23799999999997,0.23849600553512573
16,1,decode,65536,dense,flashmla_dense_bf16,ok,,348.15784181025333,331.0411871973987,419.4330000000001,0.4411199986934662
16,1,decode,131072,dense,flashmla_dense_bf16,ok,,361.6579431405388,351.04447863733236,807.5525000000001,0.8319680094718933
16,1,decode,262144,dense,flashmla_dense_bf16,ok,,365.6446826162211,363.50914230550774,1597.495,1.6068799495697021
16,1,decode,524288,dense,flashmla_dense_bf16,ok,,366.51935310334994,372.2757700772774,3187.3653999999997,3.138079881668091
16,1,decode,2048,sparse,flashmla_sparse_fp8,ok,,149.92206422786936,101.78896524348376,30.438499999999994,0.04483199864625931
16,1,decode,4096,sparse,flashmla_sparse_fp8,ok,,148.25195579148445,99.51593798457168,30.7814,0.04585599899291992
16,1,decode,8192,sparse,flashmla_sparse_fp8,ok,,148.02593556590676,97.20950001759918,30.828400000000006,0.04694399982690811
16,1,decode,16384,sparse,flashmla_sparse_fp8,ok,,147.0168412371135,97.80955544956433,31.039999999999985,0.04665600135922432
16,1,decode,32768,sparse,flashmla_sparse_fp8,ok,,146.4003937030609,97.60872073061134,31.1707,0.046751998364925385
16,1,decode,65536,sparse,flashmla_sparse_fp8,ok,,146.24837762914586,97.54195638938386,31.20309999999999,0.04678399860858917
16,1,decode,131072,sparse,flashmla_sparse_fp8,ok,,144.74677899437938,96.81353163649707,31.52680000000001,0.04713600128889084
16,1,decode,262144,sparse,flashmla_sparse_fp8,ok,,147.167612180004,96.7478503164992,31.0082,0.047168001532554626
16,1,decode,524288,sparse,flashmla_sparse_fp8,ok,,147.135820267033,97.7425161782403,31.01489999999999,0.04668800160288811
