B,H,Q,random_tflops,shared_template_sim_tflops,independent_seed_sim_tflops,shared_vs_random,independent_vs_random,independent_vs_shared
1,524288,512,322.00132591756665,417.9753671353716,418.83520024187203,1.2980548013096525,1.3007250794647198,1.0020571382289665
1,524288,1024,350.0347322230828,477.2693788046338,475.80580538534446,1.3634914906114581,1.3593102671940158,0.9969334437022652
1,524288,4096,348.0292291709369,457.41711753939603,463.54203603218593,1.3143066133526748,1.3319054756878312,1.0133902258090777
2,2048,2,15.747166009955038,15.880488850151275,16.228482456422547,1.008466465655595,1.0305652741682683,1.0219132804761206
2,2048,8,63.8345277964651,63.52256037377519,63.90658584072729,0.9951128733389458,1.0011288255235777,1.006045497295645
2,2048,32,257.64467913536225,257.47498758209747,260.2910194568315,0.9993413737328701,1.0102712787640336,1.0109371084981067
2,2048,128,372.7661243369005,373.01884162572924,373.5401456088975,1.0006779513274666,1.0020764259986712,1.0013975272157736
2,2048,512,518.8338189890381,524.5140180163487,521.8515318177082,1.010948012291062,1.0058163379452598,0.9949238988717408
2,2048,1024,519.0108326377692,536.8485575947066,535.1106368936636,1.034368694900414,1.0310201699915786,0.9967627356421901
2,2048,4096,496.13327324744006,511.90369841462564,518.0336763236221,1.0317866710772294,1.0441421776306858,1.0119748654443816
2,4096,2,15.657260561057084,15.859446369915341,16.08467084794804,1.0129132301317854,1.027297897050651,1.0142012824899072
2,4096,8,63.3243078015418,63.32475402730949,64.12160760079624,1.0000070466742264,1.012590738484709,1.012583603137931
2,4096,32,256.83267257610817,257.35787662603576,260.34953914193056,1.0020449269349558,1.013693221078717,1.0116245228438916
2,4096,128,371.00836604666574,366.26006799361926,372.06888362085283,0.9872016415596159,1.002858473477263,1.0158598114696324
2,4096,512,528.5386503264644,522.084144582073,520.1062115449744,0.9877880156155001,0.9840457480710605,0.9962114669491027
2,4096,1024,528.5233716029362,538.7066079606037,541.3390687023177,1.019267334057117,1.024248118035941,1.0048866316150822
2,4096,4096,513.4594042196499,501.6955566221954,507.3663733836691,0.9770890405341138,0.9881333737664404,1.0113033027433092
2,8192,2,15.782020560893754,15.873481119786884,16.073765935385364,1.0057952375958603,1.01848593298722,1.012617573554727
2,8192,8,63.29620092534812,63.145028908273304,64.07834034577209,0.9976116731357525,1.0123568146111397,1.014780442002086
2,8192,32,256.71708543067433,257.7035358921592,260.8255426610623,1.003842558666596,1.0160038324815643,1.0121147222838631
2,8192,128,365.364522169922,365.6593837200992,367.01245961794905,1.0008070338861201,1.0045103926299135,1.0037003724178608
2,8192,512,524.8005022082804,523.3260426733882,522.5469962049414,0.9971904380260921,0.9957059759015919,0.9985113554363412
2,8192,1024,524.0622355463682,532.8222384336577,533.6861381743022,1.016715577450752,1.018364045289202,1.0016213657732906
2,8192,4096,500.074950734541,488.1271777882992,512.0551823336878,0.976108035548087,1.023956872027982,1.0490200210809941
2,16384,2,15.754124598510858,15.88410931056898,16.102822856601172,1.0082508368678518,1.022133775565243,1.0137693302001305
2,16384,8,63.3243078015418,63.36676501790294,64.07834034577209,1.0006704726484212,1.011907473929181,1.0112294722267754
2,16384,32,254.54052959978165,257.2965214951324,260.0527133468763,1.0108273205044558,1.0216554265670836,1.010712122479262
2,16384,128,352.6041298836667,351.40946340832625,353.34190556066517,0.9966118761123569,1.0020923625518563,1.0054991181330069
2,16384,512,507.6934899092746,515.1055987018769,514.8247385113309,1.0145995742311507,1.0140463660531291,0.9994547522075982
2,16384,1024,524.6044088270266,529.7127144013716,530.4608604006609,1.009737443087386,1.01116355767335,1.001412361793382
2,16384,4096,514.6755293112295,505.3360231230008,507.03083687979415,0.981853603568976,0.9851465787742697,1.0033538352289222
2,32768,2,15.726327078737206,15.894914478811376,16.10279573109065,1.010720074638541,1.0239387525433354,1.0130784756694595
2,32768,8,63.01649839404343,63.31050392795874,64.04971531692048,1.004665532700292,1.0163959748511624,1.0116759675424933
2,32768,32,234.54990515305838,249.1498768924332,252.90627152022344,1.0622467603636312,1.0782620924753152,1.0150768472159912
2,32768,128,341.9816187033287,341.9817416218805,342.5504569240114,1.0000003594302882,1.0016633590508155,1.0016629990227952
2,32768,512,501.2524768513667,503.85374258619447,504.4804531682038,1.005189531932426,1.006439821179765,1.0012438343293681
2,32768,1024,517.333927388421,518.7898761827341,521.8613497179222,1.0028143307779231,1.0087514506391573,1.0059204577348115
2,32768,4096,505.01065637860984,486.80605149566526,494.80735668472573,0.963952038134228,0.9797958724929665,1.016436330576576
2,65536,2,15.726327078737206,15.951810913367941,16.070150582923034,1.0143379845466651,1.0218629246653972,1.007418572737464
