B,H,case_id,flops,flush_bytes,known_touched_bytes,known_touched_vs_l2,l2_bytes,latency_ms,latency_ms_mean,latency_ms_median,latency_ms_p5,latency_ms_p95,latency_ms_std,mem_clock_mhz_after,mem_clock_mhz_before,pairs,pass_count,pass_order,pass_spread_pct,pattern,peak_mem_alloc_bytes,power_w_after,power_w_before,repeat,seed,selected_kv_bytes,selected_kv_vs_l2,setup_alloc_ms,setup_indices_ms,setup_metadata_ms,setup_quant_ms,skip_reason,sm_clock_mhz_after,sm_clock_mhz_before,status,temp_c_after,temp_c_before,tflops,timestamp,topk,unique_selected_kv,warmup
32,65536,descending_shared_b32_h65536,9126805504,268435456,6062080,0.115625,52428800,0.05841600149869919,0.058549333239595096,0.058400001376867294,0.05737600103020668,0.060095999389886856,0.0010130861865636697,2619.0,2619.0,65536,2,descending,0.05479493648858913,shared,4632477696,228.74,228.74,30,20260810,1343488,0.025625,1.5427310136146843,9.138460998656228,0.12339602108113468,25.654354016296566,,1980.0,1980.0,ok,45.0,45.0,156.23811891516547,2026-08-10T11:13:51.994041+00:00,2048,2048,5
32,65536,descending_independent_b32_h65536,9126805504,268435456,47710208,0.91,52428800,0.06185599975287914,0.061860266824563345,0.06195199862122536,0.060416001826524734,0.06310400366783142,0.0008106276262913682,2619.0,2619.0,65536,2,descending,0.31087715988118436,independent,4632477696,228.74,228.74,30,20260810,42991616,0.82,1.5427310136146843,9.138460998656228,0.12339602108113468,25.654354016296566,,1980.0,1980.0,ok,45.0,45.0,147.54959136600903,2026-08-10T11:13:51.995709+00:00,2048,65536,5
64,65536,descending_shared_b64_h65536,18253611008,268435456,10780672,0.205625,52428800,0.08209599927067757,0.08291008025407791,0.08207999914884567,0.08044800162315369,0.08339200168848038,0.0069955968605714056,2619.0,2619.0,131072,2,descending,0.038986652041450576,shared,6012010496,337.46,373.82,50,20260810,1343488,0.025625,1.0234100045636296,17.75628700852394,0.20005402620881796,50.88338500354439,,1980.0,1980.0,ok,44.0,45.0,222.34471671590822,2026-08-10T11:16:23.584967+00:00,2048,2048,5
64,65536,descending_independent_b64_h65536,18253611008,268435456,95420416,1.82,52428800,0.08867199718952179,0.08896959975361823,0.08857599645853043,0.08771199733018875,0.09318400174379349,0.0017843866816311172,2619.0,2619.0,131072,2,descending,0.21676466498756763,independent,6012010496,337.46,373.82,50,20260810,85983232,1.64,1.0234100045636296,17.75628700852394,0.20005402620881796,50.88338500354439,,1980.0,1980.0,ok,44.0,45.0,205.85565885734667,2026-08-10T11:16:23.586331+00:00,2048,131072,5
16,65536,descending_shared_b16_h65536,4563402752,268435456,3702784,0.070625,52428800,0.044336000457406044,0.04421013370156288,0.04416000097990036,0.04364800080657005,0.04492799937725067,0.0003507064140401449,2619.0,2619.0,32768,2,descending,0.7970990652187204,shared,3942711296,248.26,248.26,30,20260810,1343488,0.025625,2.055538003332913,5.7736219896469265,0.10482801008038223,13.065973005723208,,1980.0,1980.0,ok,45.0,45.0,102.9293264521628,2026-08-10T11:13:51.880660+00:00,2048,2048,5
16,65536,descending_independent_b16_h65536,4563402752,268435456,23855104,0.455,52428800,0.04628799855709076,0.04642773295442263,0.04633599892258644,0.04479999840259552,0.04950400069355965,0.0011556900284483969,2619.0,2619.0,32768,2,descending,0.20761404573068631,independent,3942711296,248.26,248.26,30,20260810,21495808,0.41,2.055538003332913,5.7736219896469265,0.10482801008038223,13.065973005723208,,1980.0,1980.0,ok,45.0,45.0,98.58727535301867,2026-08-10T11:13:51.882176+00:00,2048,32768,5
1,65536,descending_shared_b1_h65536,285212672,268435456,1490944,0.0284375,52428800,0.034272000193595886,0.03516095995903015,0.03420799970626831,0.03388800099492073,0.03488000109791756,0.006503352468928457,2619.0,2619.0,2048,2,descending,0.37418433043221455,shared,499503104,373.82,395.96,50,20260810,1343488,0.025625,0.5729870172217488,0.5363659875001758,0.08234800770878792,1.4847700076643378,,1980.0,1980.0,ok,45.0,46.0,8.322060720434212,2026-08-10T11:16:23.420672+00:00,2048,2048,5
1,65536,descending_independent_b1_h65536,285212672,268435456,1490944,0.0284375,52428800,0.03428800031542778,0.03435007981956005,0.03417599946260452,0.03376000002026558,0.03551999852061272,0.0007165188598473536,2619.0,2619.0,2048,2,descending,0.6554357126896004,independent,499503104,373.82,395.96,50,20260810,1343488,0.025625,0.5729870172217488,0.5363659875001758,0.08234800770878792,1.4847700076643378,,1980.0,1980.0,ok,45.0,46.0,8.318237067933518,2026-08-10T11:16:23.421805+00:00,2048,2048,5
8,65536,descending_shared_b8_h65536,2281701376,268435456,2523136,0.048125,52428800,0.03670400008559227,0.03698133379220962,0.03667199984192848,0.03619199991226196,0.040192000567913055,0.001294117244490911,2619.0,2619.0,16384,2,descending,0.1745213994422068,shared,2106490880,254.15,284.86,30,20260810,1343488,0.025625,1.9099829951301217,2.615491015603766,0.08758399053476751,16.70578299672343,,1980.0,1980.0,ok,44.0,46.0,62.164971257568865,2026-08-10T11:13:51.458568+00:00,2048,2048,5
8,65536,descending_independent_b8_h65536,2281701376,268435456,11927552,0.2275,52428800,0.037887999787926674,0.037942399829626085,0.037856001406908035,0.03721600025892258,0.03843199834227562,0.0006073907519957066,2619.0,2619.0,16384,2,descending,0.16905314787314385,independent,2106490880,254.15,284.86,30,20260810,10747904,0.205,1.9099829951301217,2.615491015603766,0.08758399053476751,16.70578299672343,,1980.0,1980.0,ok,44.0,46.0,60.22231356199751,2026-08-10T11:13:51.464054+00:00,2048,16384,5
32,131072,descending_shared_b32_h131072,9126805504,268435456,6062080,0.115625,52428800,0.05841599963605404,0.05860800010462602,0.05833600088953972,0.057631999254226685,0.06035200133919716,0.000935902218305338,2619.0,2619.0,65536,2,descending,0.2742688744324484,shared,6008340480,298.81,288.08,30,20260810,1343488,0.025625,2.318965009180829,9.216427017236128,0.1272240187972784,59.390987997176126,,1980.0,1980.0,ok,48.0,48.0,156.2384051912724,2026-08-10T11:13:51.115038+00:00,2048,2048,5
32,131072,descending_independent_b32_h131072,9126805504,268435456,47710208,0.91,52428800,0.06200000084936619,0.061941333735982575,0.061824001371860504,0.060447998344898224,0.06297600269317627,0.0007948351845600152,2619.0,2619.0,65536,2,descending,0.5693564751562352,independent,6008340480,298.81,288.08,30,20260810,42991616,0.82,2.318965009180829,9.216427017236128,0.1272240187972784,59.390987997176126,,1980.0,1980.0,ok,48.0,48.0,147.20772460335024,2026-08-10T11:13:51.116856+00:00,2048,65536,5
16,131072,descending_shared_b16_h131072,4563402752,268435456,3702784,0.070625,52428800,0.044416001066565514,0.04450133331120014,0.044256001710891724,0.04368000105023384,0.046911999583244324,0.0009863868414230384,2619.0,2619.0,32768,2,descending,0.723062859220791,shared,4630642688,288.01,297.82,30,20260810,1343488,0.025625,3.344353986904025,5.299437005305663,0.10728699271567166,25.726243009557948,,1980.0,1980.0,ok,45.0,47.0,102.74364778862572,2026-08-10T11:13:50.715141+00:00,2048,2048,5
