B,H,Q,original_tflops,trace_tflops,trace_vs_original_tflops,original_latency_ms,trace_latency_ms,original_overlap,trace_overlap,overlap_delta,original_unique_kv,trace_unique_kv,original_vs_trace_unique_kv,trace_c4_consecutive_fraction,original_pass_spread,trace_pass_spread,complete_two_pass
8,8192,2048,519.0477677793215,521.725515931146,1.0051589628509163,9.003056049346924,8.956672191619873,0.22297889847375732,0.7704616559675745,0.5474827574938173,81893,64116,1.2772630856572462,0.644818031624572,0.008900403178656147,4.291091459873719e-05,True
8,16384,64,433.8249010720415,443.1995968971323,1.0216094000181286,0.33660800755023956,0.32948799431324005,0.12697637648809523,0.6936887710813492,0.566712394593254,131511,64348,2.043746503387829,0.5605315863502935,0.0011414525974269285,0.0012633947767917153,True
8,16384,256,518.4112984413082,517.4663492990267,0.99817722116566,1.126751959323883,1.1288000345230103,0.1247891295189951,0.7057081035539216,0.5809189740349264,133069,87336,1.5236443162040854,0.5520320526541096,0.006096151629846336,0.001815977238342592,True
8,16384,1024,495.72513337608996,502.8245795505594,1.014321335951073,4.713360071182251,4.648015975952148,0.11872387957829302,0.7115813821175465,0.5928575025392535,139221,109820,1.2677199052995811,0.5501142826565557,0.010915189626587551,0.034562912459344286,True
8,16384,2048,517.5910898403226,520.3609358578772,1.0053514175029732,9.0283842086792,8.980160236358643,0.11565610497068882,0.7089899805737054,0.5933338756030166,147390,120864,1.2194698173153296,0.5453393268025318,0.008657197613658685,0.0003778173522364092,True
8,32768,64,413.70782984614675,440.01589175356867,1.0635909209579273,0.3529760092496872,0.33187200129032135,0.07359967912946429,0.6102663070436507,0.5366666279141864,257009,98868,2.5995165270866205,0.4761879280821918,0.0011792753695425429,0.0013508850440231424,True
8,32768,256,508.7903905566093,514.3094233493985,1.010847360514713,1.1480479836463928,1.1357280015945435,0.06530905330882353,0.5723249846813726,0.5070159313725491,264085,153376,1.7218143646985187,0.4553246544765166,0.0012550281911187788,0.0006482509090106614,True
8,32768,1024,479.1665725515698,504.1349145208375,1.0521078543444942,4.87609601020813,4.634608030319214,0.05906395338847141,0.5805644970369013,0.5215005436484299,270217,206752,1.3069619640922459,0.4499542773819716,7.872466434921677e-05,0.003077217625636397,True
8,32768,2048,511.001996261072,513.7569061248621,1.0053911919795762,9.14473581314087,9.095759868621826,0.05920917043234001,0.553346098139045,0.494136927706705,278393,232100,1.1994528220594571,0.4432453073400807,0.00681166334236849,0.008567943829314695,True
8,65536,64,374.5252357937456,435.0033891233751,1.1614795147287094,0.3899040073156357,0.3356959968805313,0.0325927734375,0.46844385540674605,0.43585108196924605,447368,139724,3.2017978300077297,0.3585799902152642,0.00024622752447611695,0.00047676115695693966,True
