B,H,Q,pattern,latency_ms,latency_ms_pass_min,latency_ms_pass_max,pass_spread,tflops,tflops_pass_min,tflops_pass_max,adjacent_overlap,unique_kv,reuse_factor,c4_consecutive_fraction,pass_count
32,16384,64,csa_trace_replay,1.143567979335785,1.1424319744110107,1.144703984260559,0.001988748477317115,510.78391422849614,510.2765084139367,511.2913200430556,0.6697658962673612,258888,16.201229875467384,0.5461468780577299,2
32,16384,64,original_strided,1.1694239974021912,1.1656639575958252,1.1731840372085571,0.006451327214613389,499.4951294510332,497.88910667914394,501.10115222292256,0.12411450582837301,526077,7.972794857026633,,2
32,16384,256,csa_trace_replay,4.561712026596069,4.559711933135986,4.563712120056152,0.000877289394335623,512.1898630523963,511.96529219184225,512.4144339129502,0.683718931908701,349212,48.04306839398417,0.5396850347052349,2
32,16384,256,original_strided,4.878751993179321,4.877535820007324,4.879968166351318,0.0004986834405227292,478.90574423109365,478.7863628157515,479.02512564643587,0.12422712737438725,532253,31.521129988933833,,2
32,16384,1024,csa_trace_replay,18.05087947845459,17.985023498535156,18.116735458374023,0.007323424395280664,517.7572232220637,515.8682621143042,519.6461843298231,0.688334206798326,444012,151.1420051710314,0.5344674246651786,2
32,16384,1024,original_strided,18.137359619140625,18.124767303466797,18.149951934814453,0.001389514741126474,515.2819118776722,514.9241645190915,515.639659236253,0.12131984259492608,556840,120.51731915810646,,2
32,16384,2048,csa_trace_replay,38.205759048461914,38.00950241088867,38.402015686035156,0.010326714380613389,489.2506095871176,486.7374104789299,491.7638086953053,0.6823732555931699,488028,275.0205480013442,0.5296158165381146,2
32,16384,2048,original_strided,38.55502510070801,38.42486572265625,38.685184478759766,0.006774747320718033,484.81127049689223,483.1745776591744,486.44796333461,0.11781533916344804,589571,227.65320546634757,,2
32,32768,64,csa_trace_replay,1.1521759629249573,1.151487946510315,1.1528639793395996,0.001195004110511766,506.96749397425134,506.66476073838436,507.2702272101183,0.6096113901289684,390068,10.752750802424194,0.46526609894814086,2
32,32768,64,original_strided,1.2204639911651611,1.2080960273742676,1.2328319549560547,0.020475133616281616,478.6503723185284,473.7998150581855,483.5009295788713,0.06067136734250992,1035516,4.050448278925676,,2
32,32768,256,csa_trace_replay,4.599567890167236,4.599455833435059,4.599679946899414,4.872608249129051e-05,507.97428502045784,507.9619095235049,507.9866605174108,0.5796393899356618,602316,27.854508264764675,0.452125026755137,2
32,32768,256,original_strided,5.00054407119751,5.000160217285156,5.000927925109863,0.0001535366450964304,467.2416020187196,467.20573541812666,467.27746861931263,0.060973403033088236,1056286,15.88321344787302,,2
